"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 23 12:35:19 GMT 2022","Tue Aug 23 12:35:20 GMT 2022","664","","Regresion Damm - Bar Manager","","Caso5- Acceso a Bar Manager","","Caso5- Acceso a Bar Manager",""
"broken","Tue Aug 23 12:35:15 GMT 2022","Tue Aug 23 12:35:17 GMT 2022","1835","","Regresion Damm - Login","","Caso1- Alta pincode no válido","","Caso1- Alta pincode no válido",""
"broken","Tue Aug 23 12:35:22 GMT 2022","Tue Aug 23 12:35:23 GMT 2022","692","","Regresion Damm - Bar Tools","","Caso9- Flag Promociones (USER PROMO)","","Caso9- Flag Promociones (USER PROMO)",""
"broken","Tue Aug 23 12:35:23 GMT 2022","Tue Aug 23 12:35:24 GMT 2022","668","","Regresion Damm - Bar Tools","","Caso10- Carta Digital (USER PROMO)","","Caso10- Carta Digital (USER PROMO)",""
"broken","Tue Aug 23 12:35:18 GMT 2022","Tue Aug 23 12:35:19 GMT 2022","729","","Regresion Damm - Settings","","Caso3- Cambio contraseña","","Caso3- Cambio contraseña",""
"broken","Tue Aug 23 12:35:20 GMT 2022","Tue Aug 23 12:35:21 GMT 2022","666","","Regresion Damm - Bar Manager","","Caso6- Cambio de establecimiento","","Caso6- Cambio de establecimiento",""
"broken","Tue Aug 23 12:35:17 GMT 2022","Tue Aug 23 12:35:18 GMT 2022","695","","Regresion Damm - Login","","Caso2- Log in - user activo","","Caso2- Log in - user activo",""
"broken","Tue Aug 23 12:35:21 GMT 2022","Tue Aug 23 12:35:21 GMT 2022","674","","Regresion Damm - Bar Manager","","Caso7- Cambio de establecimiento predeterminado","","Caso7- Cambio de establecimiento predeterminado",""
"broken","Tue Aug 23 12:35:19 GMT 2022","Tue Aug 23 12:35:19 GMT 2022","680","","Regresion Damm - Settings","","Caso4- Cambio de idioma","","Caso4- Cambio de idioma",""
"broken","Tue Aug 23 12:35:21 GMT 2022","Tue Aug 23 12:35:22 GMT 2022","671","","Regresion Damm - Bar Tools","","Caso8- Flag Consumos (USER PROMO)","","Caso8- Flag Consumos (USER PROMO)",""
